iteration:  0 best program: def newfun(image): return image.score(['a large, wheeled cart', 'birds or other animals nesting on the cliff', 'a boot with a high heel and a pointed toe', 'large head with prominent brow ridge', 'a green or blue tubing connected to the mask and tank', 'large, stocky antelope'])  
iteration:  1 best program: def newfun(image): return image.score(['fine hairs or a short fur', 'fish with vertical stripes', 'a marine mollusk', 'small fish', 'a shell with a large siphon', 'soldiers or police officers often wear them']) 
iteration:  16 best program: def newfun(image): return image.score(['short legs', 'clownfish', 'typically found in oceans', 'stripes or spots', 'a coral reef', 'seaweed']) 
iteration:  17 best program: def newfun(image): return image.score(['short legs', 'clownfish', 'typically found in oceans', 'stripes or spots', 'a coral reef', 'seaweed']) 
iteration:  18 best program: def newfun(image): return image.score(['a shipwreck', 'jagged rocks', 'a lighthouse warning boats of dangerous waters', 'typically in shades of blue', 'a swimming area', 'breakwaters']) 
iteration:  19 best program: def newfun(image): return image.score(['a shipwreck', 'jagged rocks', 'a lighthouse warning boats of dangerous waters', 'typically in shades of blue', 'a swimming area', 'breakwaters']) 
iteration:  20 best program: def newfun(image): return image.score(['a shipwreck', 'jagged rocks', 'a lighthouse warning boats of dangerous waters', 'typically in shades of blue', 'a swimming area', 'breakwaters']) 
iteration:  21 best program: def newfun(image): return image.score(['an underwater scene', 'a long hose or cable', 'coral or sea anemones', 'often yellow or orange', 'tropical fish', 'an underwater ruin']) 
iteration:  22 best program: def newfun(image): return image.score(['an underwater scene', 'a long hose or cable', 'coral or sea anemones', 'often yellow or orange', 'tropical fish', 'an underwater ruin']) 
iteration:  23 best program: def newfun(image): return image.score(['an underwater scene', 'a long hose or cable', 'coral or sea anemones', 'often yellow or orange', 'tropical fish', 'an underwater ruin']) 
iteration:  24 best program: def newfun(image): return image.score(['an underwater scene', 'a long hose or cable', 'coral or sea anemones', 'often yellow or orange', 'tropical fish', 'an underwater ruin']) 
iteration:  25 best program: def newfun(image): return image.score(['an underwater scene', 'a long hose or cable', 'coral or sea anemones', 'often yellow or orange', 'tropical fish', 'an underwater ruin']) 
iteration:  26 best program: def newfun(image): return image.score(['an underwater scene', 'a long hose or cable', 'coral or sea anemones', 'often yellow or orange', 'tropical fish', 'an underwater ruin']) 
iteration:  27 best program: def newfun(image): return image.score(['an underwater scene', 'a long hose or cable', 'coral or sea anemones', 'often yellow or orange', 'tropical fish', 'an underwater ruin']) 
iteration:  28 best program: def newfun(image): return image.score(['an underwater scene', 'a long hose or cable', 'coral or sea anemones', 'often yellow or orange', 'tropical fish', 'an underwater ruin']) 
iteration:  29 best program: def newfun(image): return image.score(['an underwater scene', 'a long hose or cable', 'coral or sea anemones', 'often yellow or orange', 'tropical fish', 'an underwater ruin']) 
iteration:  30 best program: def newfun(image): return image.score(['an underwater scene', 'a long hose or cable', 'coral or sea anemones', 'often yellow or orange', 'tropical fish', 'an underwater ruin']) 
iteration:  31 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  32 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  33 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  34 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  35 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  36 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  37 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  38 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  39 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  40 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  41 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  42 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  43 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  44 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  45 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  46 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  47 best program: def newfun(image): return image.score(['a school of fish', 'typically brightly colored', 'an underwater reef', 'a moray eel', 'a dolphin', 'a mermaid']) 
iteration:  48 best program: def newfun(image): return image.score(['several divers swimming', 'an extraordinary underwater landscape', 'a moray eel', 'a giant squid', 'sea weed', 'a giant clam']) 
iteration:  49 best program: def newfun(image): return image.score(['several divers swimming', 'an extraordinary underwater landscape', 'a moray eel', 'a giant squid', 'sea weed', 'a giant clam']) 
iteration:  50 best program: def newfun(image): return image.score(['several divers swimming', 'an extraordinary underwater landscape', 'a moray eel', 'a giant squid', 'sea weed', 'a giant clam']) 
iteration:  51 best program: def newfun(image): return image.score(['several divers swimming', 'an extraordinary underwater landscape', 'a moray eel', 'a giant squid', 'sea weed', 'a giant clam']) 
iteration:  52 best program: def newfun(image): return image.score(['several divers swimming', 'an extraordinary underwater landscape', 'a moray eel', 'a giant squid', 'sea weed', 'a giant clam']) 
iteration:  53 best program: def newfun(image): return image.score(['several divers swimming', 'an extraordinary underwater landscape', 'a moray eel', 'a giant squid', 'sea weed', 'a giant clam']) 
iteration:  54 best program: def newfun(image): return image.score(['several divers swimming', 'an extraordinary underwater landscape', 'a moray eel', 'a giant squid', 'sea weed', 'a giant clam']) 
iteration:  55 best program: def newfun(image): return image.score(['a sandy ocean floor', 'a variety of colorful fish', 'a coral reef', 'a sunken ship', 'a moray eel', 'a sea turtle']) 
iteration:  56 best program: def newfun(image): return image.score(['a sandy ocean floor', 'a variety of colorful fish', 'a coral reef', 'a sunken ship', 'a moray eel', 'a sea turtle']) 
iteration:  57 best program: def newfun(image): return image.score(['a sandy ocean floor', 'a variety of colorful fish', 'a coral reef', 'a sunken ship', 'a moray eel', 'a sea turtle']) 
iteration:  58 best program: def newfun(image): return image.score(['a sandy ocean floor', 'a variety of colorful fish', 'a coral reef', 'a sunken ship', 'a moray eel', 'a sea turtle']) 
iteration:  59 best program: def newfun(image): return image.score(['a sandy ocean floor', 'a variety of colorful fish', 'a coral reef', 'a sunken ship', 'a moray eel', 'a sea turtle']) 
iteration:  60 best program: def newfun(image): return image.score(['a sandy ocean floor', 'a variety of colorful fish', 'a coral reef', 'a sunken ship', 'a moray eel', 'a sea turtle']) 
iteration:  61 best program: def newfun(image): return image.score(['a sandy ocean floor', 'a variety of colorful fish', 'a coral reef', 'a sunken ship', 'a moray eel', 'a sea turtle']) 
iteration:  62 best program: def newfun(image): return image.score(['a blue tang', 'a yellow tang', 'a surgeonfish', 'a damselfish', 'a butterflyfish', 'a lionfish']) 
iteration:  63 best program: def newfun(image): return image.score(['a flounder', 'a filefish', 'a triggerfish', 'a pufferfish', 'a trumpetfish', 'a grouper']) 
iteration:  64 best program: def newfun(image): return image.score(['a flounder', 'a filefish', 'a triggerfish', 'a pufferfish', 'a trumpetfish', 'a grouper']) 
iteration:  65 best program: def newfun(image): return image.score(['a flounder', 'a filefish', 'a triggerfish', 'a pufferfish', 'a trumpetfish', 'a grouper']) 
iteration:  66 best program: def newfun(image): return image.score(['a lionfish', 'a parrotfish', 'a blue tang', 'a butterflyfish', 'a damselfish', 'a blenny']) 
iteration:  67 best program: def newfun(image): return image.score(['a lionfish', 'a parrotfish', 'a blue tang', 'a butterflyfish', 'a damselfish', 'a blenny']) 
iteration:  68 best program: def newfun(image): return image.score(['a lionfish', 'a parrotfish', 'a blue tang', 'a butterflyfish', 'a damselfish', 'a blenny']) 
iteration:  69 best program: def newfun(image): return image.score(['a lionfish', 'a parrotfish', 'a blue tang', 'a butterflyfish', 'a damselfish', 'a blenny']) 
iteration:  70 best program: def newfun(image): return image.score(['a lionfish', 'a parrotfish', 'a blue tang', 'a butterflyfish', 'a damselfish', 'a blenny']) 
iteration:  71 best program: def newfun(image): return image.score(['a lionfish', 'a parrotfish', 'a blue tang', 'a butterflyfish', 'a damselfish', 'a blenny']) 
iteration:  72 best program: def newfun(image): return image.score(['a lionfish', 'a parrotfish', 'a blue tang', 'a butterflyfish', 'a damselfish', 'a blenny']) 
iteration:  73 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  74 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  75 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  76 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  77 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  78 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  79 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  80 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  81 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  82 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  83 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  84 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  85 best program: def newfun(image): return image.score(['a trumpetfish', 'a butterflyfish', 'a longfinned bannerfish', 'a pair of parrotfish', 'a wrasse', 'a Hawksbill sea turtle']) 
iteration:  86 best program: def newfun(image): return image.score(['a yellow tang', 'a blue-green Chromis', 'a damselfish', 'a parrotfish', 'a longsnout butterflyfish', 'a squirrelfish']) 
iteration:  87 best program: def newfun(image): return image.score(['a yellow tang', 'a blue-green Chromis', 'a damselfish', 'a parrotfish', 'a longsnout butterflyfish', 'a squirrelfish']) 
iteration:  88 best program: def newfun(image): return image.score(['a yellow tang', 'a blue-green Chromis', 'a damselfish', 'a parrotfish', 'a longsnout butterflyfish', 'a squirrelfish']) 
iteration:  89 best program: def newfun(image): return image.score(['a yellow tang', 'a blue-green Chromis', 'a damselfish', 'a parrotfish', 'a longsnout butterflyfish', 'a squirrelfish']) 
iteration:  90 best program: def newfun(image): return image.score(['a yellow tang', 'a blue-green Chromis', 'a damselfish', 'a parrotfish', 'a longsnout butterflyfish', 'a squirrelfish']) 
iteration:  91 best program: def newfun(image): return image.score(['a yellow tang', 'a blue-green Chromis', 'a damselfish', 'a parrotfish', 'a longsnout butterflyfish', 'a squirrelfish']) 
iteration:  92 best program: def newfun(image): return image.score(['a yellow tang', 'a blue-green Chromis', 'a damselfish', 'a parrotfish', 'a longsnout butterflyfish', 'a squirrelfish']) 
iteration:  93 best program: def newfun(image): return image.score(['a yellow tang', 'a blue-green Chromis', 'a damselfish', 'a parrotfish', 'a longsnout butterflyfish', 'a squirrelfish']) 
iteration:  94 best program: def newfun(image): return image.score(['a yellow tang', 'a blue-green Chromis', 'a damselfish', 'a parrotfish', 'a longsnout butterflyfish', 'a squirrelfish']) 
iteration:  95 best program: def newfun(image): return image.score(['a yellow tang', 'a blue-green Chromis', 'a damselfish', 'a parrotfish', 'a longsnout butterflyfish', 'a squirrelfish']) 
iteration:  96 best program: def newfun(image): return image.score(['a yellow tang', 'a blue-green Chromis', 'a damselfish', 'a parrotfish', 'a longsnout butterflyfish', 'a squirrelfish']) 
iteration:  97 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  98 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  99 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  100 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  101 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  102 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  103 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  104 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  105 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  106 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  107 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  108 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  109 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  110 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  111 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  112 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  113 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  114 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  115 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  116 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  117 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  118 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  119 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  120 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  121 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  122 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  123 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  124 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  125 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  126 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  127 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  128 best program: def newfun(image): return image.score(['a saddle butterflyfish', 'a Cortez rainbow wrasse', 'a checkerboard wrasse', 'a banded wrasse', 'a hogfish', 'a blue stripe dottyback']) 
iteration:  129 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  130 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  131 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  132 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  133 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  134 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  135 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  136 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  137 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  138 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  139 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  140 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  141 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  142 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  143 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  144 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  145 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  146 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  147 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  148 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  149 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  150 best program: def newfun(image): return image.score(['a striped parrotfish', 'a stoplight parrotfish', 'a blue-headed parrotfish', 'a rainbow parrotfish', 'a blue-and-yellow parrotfish', 'a scarlet parrotfish']) 
iteration:  151 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  152 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
iteration:  153 best program: def newfun(image): return image.score(['a juvenile parrotfish', 'a banded parrotfish', 'a green parrotfish', 'a parrotfish', 'a rainbow parrotfish', 'a blue-throated parrotfish']) 
