iteration: 0 generation: def newfun(image): return image.score(['a beam in the water', 'a vertical pipe', 'a black-and-white striped body', 'a rounded or tapered end', 'white spots on the fins', 'a whistle'])
iteration: 12 generation: def newfun(image): return image.score(['may aid in navigation', 'waterproof casing', 'a submarine or diving bell', 'a wet suit', 'a life jacket', 'a map of the ocean'])
iteration: 13 generation: def newfun(image): return image.score(['a handheld device with a lit screen', 'large container with multiple small compartments', 'a ship navigating rough seas', 'rocks', 'a school of fish', 'a Post-it note'])
iteration: 14 generation: def newfun(image): return image.score(['a pair of swimming goggles', ' a beach with palm trees', ' transparent blue or purple water', 'a school of fish swimming together', 'a shark or barracuda', 'a wave breaking onto the shore'])
iteration: 15 generation: def newfun(image): return image.score(['a yellow tang', 'a brightly colored fish', 'a school of small fish', 'a shark cage', 'a fishing net', 'a new moon'])
iteration: 16 generation: def newfun(image): return image.score(['a whale or other marine mammal', 'a shipwreck or underwater ruins', 'bubbles', 'coral or other underwater plants', 'a mermaid or other mythical sea creature', 'an anchor'])
iteration: 17 generation: def newfun(image): return image.score(['a surfboard leash', 'a small raft or float', 'a blue and white surface', 'a ramp or inclined surface', 'a swim fin or flippers', 'a single or double arch near the top'])
iteration: 18 generation: def newfun(image): return image.score(['a shark cage or protected area', 'a school of fish', 'blue or dark blue, often with other colors', 'eyes that can see in all directions', 'gill openings', 'wings that fold up when not in use'])
iteration: 19 generation: def newfun(image): return image.score(['a group of dolphins', 'a wave', 'a submarine', 'a green sea turtle', 'coral', 'schooling fish'])
iteration: 20 generation: def newfun(image): return image.score(['a school of barracudas', 'a blue tang', 'a diver', 'a parrotfish', 'a sea urchin', 'a sea star'])
iteration: 21 generation: def newfun(image): return image.score(['a manta ray', 'a yellow tang', 'a stingray', 'a sea cow', 'a queen triggerfish', 'a trumpet fish'])
iteration: 22 generation: def newfun(image): return image.score(['a eagle ray', 'a nurse shark', 'a cleaner wrasse', 'a blue tang', 'an angelfish', 'a parrotfish'])
iteration: 23 generation: def newfun(image): return image.score([' a sand tiger shark', 'a blacktip shark', 'a lemon shark', 'a nurse shark', 'a tiger shark', 'a dorsal fin'])
iteration: 24 generation: def newfun(image): return image.score(['sailboat', 'watercraft', 'spars', 'sails', 'steering mechanism', 'wooden hull'])
iteration: 25 generation: def newfun(image): return image.score(['a blue tang', 'a parrotfish', 'a trumpet fish', 'a butterflyfish', 'a pair of scuba gear', 'a sea fan'])
iteration: 26 generation: def newfun(image): return image.score(['a flounder', 'a blacktip reef shark', 'a cornetfish', 'a queen parrotfish', 'an ocean triggerfish', 'a mahi mahi'])
iteration: 27 generation: def newfun(image): return image.score(['a manta ray', 'a lemon shark', 'a blue shark', 'a striped burrfish', 'a muliple-spotted filefish', 'a nurse shark'])
iteration: 28 generation: def newfun(image): return image.score(['a coral reef', 'a school of fish', 'a sea turtle', 'a sunken ship', 'a dolphin', 'a giant squid'])
iteration: 29 generation: def newfun(image): return image.score(['a sunken ship', 'seaweed or kelp', 'a harpoon gun', 'a lobster trap', 'often used by recreational divers', 'rusty or corroded metal'])
iteration: 30 generation: def newfun(image): return image.score(['colorful coral', 'a diver', 'a blue tang', 'a school of damselfish', 'a spotted eagle ray', 'a yellow tang'])
iteration: 31 generation: def newfun(image): return image.score(['underwater grasslands or kelp forests', 'coral reefs', 'icebergs', 'various sea creatures', 'sunlight filtering down to the seafloor', 'an underwater cave'])
iteration: 32 generation: def newfun(image): return image.score(['a damselfish', 'a humbug damselfish', 'a chromis', 'a wrasse', 'a moon wrasse', 'a silver razor wrasse'])
iteration: 33 generation: def newfun(image): return image.score(['a southern stingray', 'a spadefish', 'a barracuda', 'a hammerhead', 'a longlure frogfish', 'a queen triggerfish'])
iteration: 34 generation: def newfun(image): return image.score(['a tow-behind raft for water skiing', 'a large group of fish swimming in unison', 'a tube used to transport liquids or gases', 'large, flat, round pieces of bread', 'a column of a building or pillar', 'a speedometer or odometer'])
iteration: 35 generation: def newfun(image): return image.score(['a shark', 'a sunken ship', 'a visual effect in a film', 'a group of fish swimming together', 'an underwater cave system', 'a school of hammerhead sharks'])
iteration: 36 generation: def newfun(image): return image.score(['a barracuda', 'a damselfish', 'a triggerfish', 'a trumpetfish', 'a blue tang', 'a moray eel'])
iteration: 37 generation: def newfun(image): return image.score(['a shark', 'a sailfish', 'a marlin', 'a swordfish', 'tuna', 'a blue tang'])
iteration: 38 generation: def newfun(image): return image.score(['a large reef with many coral heads', 'a school of blue tangs', 'a green sea turtle', 'a submerged grassy plain', 'a group of sea urchins', 'a blacktip reef shark'])
iteration: 39 generation: def newfun(image): return image.score(['a smooth stingray', 'a blacktip shark', 'a copperbanded butterflyfish', 'a Moorish idol', 'a spadefish', 'a moray eel'])
iteration: 40 generation: def newfun(image): return image.score(['a blacktip shark', 'a nurse shark', 'a sand tiger shark', 'a lemon shark', 'a damselfish', 'a spotted eagle ray'])
iteration: 41 generation: def newfun(image): return image.score(['a moray eel', 'a green moray eel', 'a gray moray eel', 'a nurse shark', 'a blacktip shark', 'a spotted eagle ray'])
iteration: 42 generation: def newfun(image): return image.score(['coral reef', 'School of fish', 'sea turtle', 'sunken ship', 'dolphin', 'giant squid', 'net or mesh material'])
iteration: 43 generation: def newfun(image): return image.score(['a blue tang', 'a yellow tang', 'a hippo tang', 'a moorish idol', 'a orange-dotted filefish', 'a scrawled filefish'])
iteration: 44 generation: def newfun(image): return image.score(['a porcupinefish', 'a pufferfish', 'a blue tang', 'a yellow tang', 'a parrotfish', 'a surgeonfish'])
iteration: 45 generation: def newfun(image): return image.score(['a blue tang', 'a large grouper', 'a parrotfish', 'a trumpetfish', 'a butterflyfish', 'a shipwreck'])
iteration: 46 generation: def newfun(image): return image.score(['a damselfish', 'a humbug damselfish', 'a chromis', 'a wrasse', 'a moon wrasse', 'a silver razor wrasse'])
iteration: 47 generation: def newfun(image): return image.score(['a butterflyfish', 'a foxface rabbitfish', 'a parrotfish', 'a squirrelfish', 'a trumpetfish', 'a unicornfish'])
iteration: 48 generation: def newfun(image): return image.score(['a school of blue tang', 'a school of yellow tang', 'a school of damselfish', 'a school of parrotfish', 'a school of surgeonfish', 'a school of butterflyfish'])
iteration: 49 generation: def newfun(image): return image.score(['a blue tang', 'a parrotfish', 'a stoplight parrotfish', 'a blue stripe dottyback', 'a four-eyed butterflyfish', 'a school of damselfish'])
iteration: 50 generation: def newfun(image): return image.score(['a humbug damselfish', 'a white-line dascyllus', 'a banded masked angelfish', 'a blue surgeonfish', 'a yellow longnose butterflyfish', 'a spotted trumpetfish'])
iteration: 51 generation: def newfun(image): return image.score(['a blue tang', 'a damselfish', 'a angelfish', 'a trumpetfish', 'a butterflyfish', 'a wrasse'])
iteration: 52 generation: def newfun(image): return image.score(['a tiger shark', 'a great white shark', 'spiky sea urchins', 'pilot fish', 'coral reef', 'a diver'])
iteration: 53 generation: def newfun(image): return image.score(['a smooth stingray', 'a blacktip shark', 'a copperbanded butterflyfish', 'a Moorish idol', 'a spadefish', 'a moray eel', 'eyes', 'mouth'])
iteration: 54 generation: def newfun(image): return image.score(['a moray eel', 'a green moray eel', 'a gray moray eel', 'a nurse shark', 'a blacktip shark', 'a spotted eagle ray'])
iteration: 55 generation: def newfun(image): return image.score(['a stingray', 'a spotted eagle ray', 'a manta ray', 'a shark', 'a sawfish', 'a hammerhead shark'])
iteration: 56 generation: def newfun(image): return image.score(['a school of convict tangs', 'a school of blue tangs', 'a blue-black grouper', 'a swarthy-colored blueground parrotfish', 'a coral-reef scene', 'a sea turtle'])
iteration: 57 generation: def newfun(image): return image.score(['a blacktip shark', 'a sandbar shark', 'a lemon shark', 'a tiger shark', 'a hammerhead shark', 'a nurse shark'])
iteration: 58 generation: def newfun(image): return image.score(['a bluelined triggerfish', 'a raccoon butterflyfish', 'a confederate soldierfish', 'a trumpetfish', 'a threespot damselfish', 'a viperfish'])
iteration: 59 generation: def newfun(image): return image.score(['a puffer fish', 'a trumpetfish', 'a barracuda', 'a scorpionfish', 'a southern stingray', 'a green moray eel'])
iteration: 60 generation: def newfun(image): return image.score(['a parrotfish', 'a blue tang', 'a yellow tang', 'a hippo tang', 'a surgeonfish', 'a trumpetfish'])
iteration: 61 generation: def newfun(image): return image.score(['a flounder', 'a nurse shark', 'a green sea turtle', 'a queen parrotfish', 'a surgeonfish', 'a spotted wobbegong shark'])
iteration: 62 generation: def newfun(image): return image.score(['a pair of spiky fish', 'a black barred triggerfish', 'a blue chromis', 'a southern yellowtail damselfish', 'a blue devils damselfish', 'a Christmas tree wrasse'])
iteration: 63 generation: def newfun(image): return image.score(['a school of blue tang', 'a school of damselfish', 'a school of parrotfish', 'a school of trumpetfish', 'a school of triggerfish', 'a school of moray eel'])
iteration: 64 generation: def newfun(image): return image.score(['a moorish idol', 'a Trumpetfish', 'a pennantfish', 'a spadefish', 'a blue tang', 'a butterflyfish'])
iteration: 65 generation: def newfun(image): return image.score(['a blacktip reef shark', 'a blacknose shark', 'a bonnethead shark', 'a copperbanded butterflyfish', 'a Queensland chromis', 'a swimming crab'])
iteration: 66 generation: def newfun(image): return image.score(['a chromis', 'a green chromis', 'a blue-and-yellow chromis', 'a lemon-yellow chromis', 'a purple-and-yellow chromis', 'a blueberry wrasse'])
iteration: 67 generation: def newfun(image): return image.score(['a blacktip reef shark', 'a white grouper', 'a tarpon', 'a parrotfish', 'a barracuda', 'a green sea turtle'])
iteration: 68 generation: def newfun(image): return image.score(['a bigeye trevally', 'a golden trevally', 'a blacktip reef shark', 'a whitetip reef shark', 'a sailfin tang', 'a trumpetfish'])
iteration: 69 generation: def newfun(image): return image.score(['a parrotfish', 'ablue parrotfish', 'a stoplight parrotfish', 'a blue chromis', 'a blue damselfish', 'a blue tang'])
iteration: 70 generation: def newfun(image): return image.score(['a group of parrotfish', 'a school of butterfish', 'a triggerfish', 'a moorish idol', 'a damselfish', 'a sea anemone'])
iteration: 71 generation: def newfun(image): return image.score(['a blue damselfish', 'a blue tang', 'a clark or parrotfish', 'a squirrelfish', 'a surgeonfish', 'a trumpetfish'])
iteration: 72 generation: def newfun(image): return image.score(['parrotfish in a coral group', 'brown-banded burrfish', 'spotted toadfish', 'smooth trunkfish', 'four-eye butterflyfish', 'yellow-margined parrotfish'])
iteration: 73 generation: def newfun(image): return image.score(['a yellow tang', 'a green-blue parrotfish', 'a blue tang', 'a blue-colored stoplight parrotfish', 'a purple or lavender parrotfish', 'a surgeonfish'])
iteration: 74 generation: def newfun(image): return image.score(['a spotted moray', 'a chain moray', 'a zebra moray', 'a barred moray', 'a tessellated moray', 'a yellow-margined moray'])
iteration: 75 generation: def newfun(image): return image.score(['a reef with gorgonian sea fans', 'a reef with blue staghorn coral', 'a reef with brain coral', 'a reef with farnsworth bank', 'a reef with grouper', 'a reef with tarpon'])
iteration: 76 generation: def newfun(image): return image.score(['a bicolor damselfish', 'a yellow tang', 'a blue damselfish', 'a sixbar angelfish', 'a regal tang', 'a parrotfish'])
iteration: 77 generation: def newfun(image): return image.score(['a blue-and-yellow damselfish', 'a black-and-white damselfish', 'a blue tang with orange spots', 'a black tang', 'a yellow tang', 'a trumpetfish'])
iteration: 78 generation: def newfun(image): return image.score(['a school of blue tangs', 'a school of blue damselfish', 'a school of yellowtail damselfish', 'a sequence of images showing a blue tang and a yellowtail damselfish', 'a blue tang and a yellowtail damselfish in the same image', 'a blue tang and a yellowtail damselfish in different parts of the image'])
iteration: 79 generation: def newfun(image): return image.score(['a blue tang swimming', 'a parrotfish swimming', 'a school of damselfish swimming', 'a yellowtail damselfish swimming', 'a blue tang in the foreground', 'a yellowtail damselfish in the foreground'])
iteration: 80 generation: def newfun(image): return image.score(['a blue tang and a yellowtail damselfish swimming together', 'a blue tang chasing a yellowtail damselfish', 'a blue tang and a yellowtail damselfish fighting', 'a blue tang and a yellowtail damselfish mating', 'a blue tang and a yellowtail damselfish feeding', 'a blue tang and a yellowtail damselfish cleaning together'])
iteration: 81 generation: def newfun(image): return image.score(['a parrotfish', 'a unicornfish', 'a trumpetfish', 'a regal tang', 'a blue damselfish', 'a convict tang'])
iteration: 82 generation: def newfun(image): return image.score(['a spotted moray', 'a green moray', 'a chain moray', 'a giant moray', 'an adult moray', 'Moray eel'])
iteration: 83 generation: def newfun(image): return image.score(['a yellowtail damselfish', 'a threespot damselfish', 'a foureye butterflyfish', 'a banded butterflyfish', 'a raccoon butterflyfish', 'a blue-and-yellow butterflyfish'])
iteration: 84 generation: def newfun(image): return image.score(['a brightly colored parrotfish', 'a trumpetfish', 'a blue tang', 'a clownfish', 'a green-blue parrotfish', 'a bright blue damselfish'])
iteration: 85 generation: def newfun(image): return image.score(['a moray eel', 'a chain moray eel', 'a ribbon moray eel', 'a zebra moray eel', 'a green moray eel', 'a combless moray eel'])
iteration: 86 generation: def newfun(image): return image.score(['a white-spotted filefish', 'a spotfin butterflyfish', 'a margined butterflyfish', 'a blue-throated butterflyfish', 'a banded butterflyfish', 'a flagtail butterflyfish'])
iteration: 87 generation: def newfun(image): return image.score(['lionfish', 'a spinecheek anemonefish', 'a false clownfish', 'a Clarks damselfish', 'a blacktip reef shark', 'a spotted moray'])
iteration: 88 generation: def newfun(image): return image.score(['a speckled trumpetfish', 'a barred parrotfish', 'a green parrotfish', 'a blue-yellow parrotfish', 'a pair of parrotfish', 'a orange-dotted filefish'])
iteration: 89 generation: def newfun(image): return image.score(['a blue-colored parrotfish', 'a blue and yellow damselfish', 'a downy parrotfish', 'a green-blue parrotfish', 'a parrotfish', 'a sixbar angelfish'])
iteration: 90 generation: def newfun(image): return image.score(['a sergeant major damselfish', 'a school of blue damselfish', 'a school of yellowtail damselfish', 'a porcupinefish', 'a scrawled filefish', 'a hawksbill sea turtle'])
iteration: 91 generation: def newfun(image): return image.score(['a school of blue tang and a school of yellowtail damselfish swimming together', 'a school of blue tang chasing a school of yellowtail damselfish', 'a school of blue tang and a school of yellowtail damselfish fighting', 'a school of blue tang and a school of yellowtail damselfish mating', 'a school of blue tang and a school of yellowtail damselfish feeding', 'a school of blue tang and a school of yellowtail damselfish cleaning together'])
iteration: 92 generation: def newfun(image): return image.score(['a purple tang', 'a blue tang', 'a yellow tang', 'a blue-and-yellow damselfish', 'a trumpetfish', 'a parrotfish'])
iteration: 93 generation: def newfun(image): return image.score(['a moorish idol', 'a clownfish', 'a blue damselfish', 'a sergeant major damselfish', 'a threespot dascyllus damselfish', 'a banded triggerfish'])
iteration: 94 generation: def newfun(image): return image.score(['a green moray eel', 'a spotted moray eel', 'a clouded moray eel', 'a white-eye moray eel', 'a speckled moray eel', 'a honeycomb moray eel'])
iteration: 95 generation: def newfun(image): return image.score(['a barred moray', 'a zebra moray', 'a spotted moray', 'a chain moray', 'a yellow-margined moray', 'a tessellated moray'])
iteration: 96 generation: def newfun(image): return image.score(['a downy parrotfish', 'a yellowtail damselfish', 'a blue and yellow damselfish', 'a parrotfish', 'a blue tang', 'a green-blue parrotfish'])
iteration: 97 generation: def newfun(image): return image.score(['a yellowtail damselfish and a parrotfish in the same frame', 'a blue tang and a yellowtail damselfish in the same frame', 'a damselfish cleaning a parrotfish', 'a parrotfish and a yellowtail damselfish eating algae', 'a blue tang and a yellowtail damselfish swimming in unison', 'a blue tang swimming in the foreground with a yellowtail damselfish in the background'])
iteration: 98 generation: def newfun(image): return image.score(['a green moray eel', 'a spotted moray eel', 'a white moray eel', 'a blacktip reef shark', 'a blacktail reef shark', 'a bonnethead shark'])
iteration: 99 generation: def newfun(image): return image.score(['a damselfish', 'a damselfish with yellow tail', 'a damselfish with bluegray body', 'a damselfish withyellow body', 'a damselfish with blue-and-yellow coloring', 'a damselfish with black-and-white coloring'])
iteration: 100 generation: def newfun(image): return image.score(['a moorish idol', 'a surgeonfish', 'an angelfish', 'a damselfish', 'a chromis', 'a triggerfish'])
iteration: 101 generation: def newfun(image): return image.score(['a chromis', 'a chromis with a yellow head', 'a chromis with a black body', 'a chromis with blue and yellow stripes', 'a chromis with yellow and black stripes', 'a chromis with blue-and-yellow coloring'])
iteration: 102 generation: def newfun(image): return image.score(['a green damselfish', 'a longfin bidirectional chromis', 'a reef chromis', 'a devil damselfish', 'an adolescent damselfish', 'a damselfish'])
iteration: 103 generation: def newfun(image): return image.score(['a school of anthias', 'a jewel damselfish', 'a bluehead wrasse', 'a maori wrasse', 'a blue-spotted masked angelfish', 'a humbug damselfish'])
iteration: 104 generation: def newfun(image): return image.score(['a parrotfish making a distinctive hole in the coral reef', 'a trumpetfish', 'a moorish idol', 'a spadefish', 'a blue tang', 'a damselfish'])
iteration: 105 generation: def newfun(image): return image.score(['a blacktip shark', 'a porkfish', 'a spiny damselfish', 'a striped parrotfish', 'a Doctorfish', 'a peacock damselfish'])
iteration: 106 generation: def newfun(image): return image.score(['a reef with blacktip sharks', 'a reef with nurse sharks', 'a reef with lemon sharks', 'a reef with tiger sharks', 'a reef with hammerheads', 'a reef with crocodile sharks'])
iteration: 107 generation: def newfun(image): return image.score(['a reef with moray eels', 'a reef with barracudas', 'a reef with groupers', 'a reef with snappers', 'a reef with angelfish', 'a reef with triggerfish'])
iteration: 108 generation: def newfun(image): return image.score(['a damselfish with blue and yellow', 'a damselfish with blue-and-white stripes', 'a damselfish with yellow and black', 'a damselfish with blue and black', 'a damselfish with bright red and blue', 'a damselfish with bright orange and purple'])
iteration: 109 generation: def newfun(image): return image.score(['a damselfish with blue and yellow', 'a damselfish with blue-and-white stripes', 'a damselfish with yellow and black', 'a damselfish with blue and black', 'a damselfish with bright red and blue', 'a damselfish with bright orange and purple'])
iteration: 110 generation: def newfun(image): return image.score(['a trumpetfish swimming', 'a parrotfish swimming', 'a blue tang swimming', 'a clownfish swimming', 'a brightly colored parrotfish swimming', 'a green-blue parrotfish swimming'])
iteration: 111 generation: def newfun(image): return image.score(['a colorful fish swimming in front of a coral reef', 'a fish swimming near a the top of a tall coral reef formation', 'a school of fish swimming near a coral reef', 'a sea turtle swimming near a coral reef', 'a group of fish swimming near a coral reef', 'a fish swimming in front of a wall of coral'])
iteration: 112 generation: def newfun(image): return image.score(['a damselfish laying eggs', 'a butterflyfish laying eggs', 'a parrotfish laying eggs', 'a school of damselfish', 'a blue tang laying eggs', 'a parrotfish spawning'])
iteration: 113 generation: def newfun(image): return image.score(['a triggerfish', 'a triggerfish with a long snout', 'a triggerfish with a spiky dorsal fin', 'a triggerfish with blue and yellow stripes', 'a triggerfish with yellow and black stripes', 'a triggerfish with blue and white spots'])
iteration: 114 generation: def newfun(image): return image.score(['a parrotfish', 'a blue-and-yellow parrotfish', 'a green parrotfish', 'a scarlet parrotfish', 'a blue-throated parrotfish', 'a rainbow parrotfish'])
iteration: 115 generation: def newfun(image): return image.score(['a blue-and-yellow damselfish', 'a black-and-yellow tang', 'a blue-and-yellow parrotfish', 'a juvenile damselfish', 'a orange-dotted filefish', 'a red-and-blue wrasse'])
iteration: 116 generation: def newfun(image): return image.score(['a yellow tang', 'a black tang', 'a spotted tang', 'a blue tang', 'a rabbitfish', 'a foxface rabbitfish'])
iteration: 117 generation: def newfun(image): return image.score(['a blue tang swimming in the foreground with a school of yellowtail damselfish in the background', 'a blue tang and a yellowtail damselfish swimming in unison near a coral reef', 'a parrotfish and a yellowtail damselfish swimming in unison near a coral reef', 'a damselfish cleaning a yellowtail damselfish', 'a yellowtail damselfish eating algae off a parrotfish', 'a school of yellowtail damselfish swimming near a coral reef'])
iteration: 118 generation: def newfun(image): return image.score(['a blacktip shark', 'a blacktip reef shark', 'a Caribbean reef shark', 'a blacktail reef shark', 'a gray reef shark', 'a hammerhead shark'])
iteration: 119 generation: def newfun(image): return image.score(['a surgeonfish', 'a blue tang', 'a parrotfish', 'a trumpetfish', 'a moorish idol', 'a blue damselfish'])
iteration: 120 generation: def newfun(image): return image.score(['a yellow tang', 'a blue tang', 'a green chromis', 'a blue damselfish', 'a parrotfish', 'a trumpetfish'])
iteration: 121 generation: def newfun(image): return image.score(['a doctorfish', 'a surgeonfish', 'a parrotfish', 'a squirrelfish', 'a triggerfish', 'a damselfish'])
iteration: 122 generation: def newfun(image): return image.score(['a yellow tang', 'a blue tang', 'a yellow damselfish', 'a blue chromis', 'a blue-and-yellow damselfish', 'a lemon butterflyfish'])
iteration: 123 generation: def newfun(image): return image.score(['a blue tang and a yellowtail damselfish swimming together', 'a blue tang chasing a yellowtail damselfish', 'a blue tang and a yellowtail damselfish fighting', 'a blue tang and a yellowtail damselfish mating', 'a blue tang and a yellowtail damselfish feeding', 'a blue tang and a yellowtail damselfish cleaning together'])
iteration: 124 generation: def newfun(image): return image.score(['a green moray eel', 'a spotted moray eel', 'a white moray eel', 'a blacktip reef shark', 'a blacktail reef shark', 'an ornate wrasse'])
iteration: 125 generation: def newfun(image): return image.score(['a colorful fish swimming in front of a coral reef', 'a fish swimming near a the top of a tall coral reef formation', 'a school of fish swimming near a coral reef', 'a sea turtle swimming near a coral reef', 'a group of fish swimming near a coral reef', 'a fish swimming in front of a wall of coral'])
iteration: 126 generation: def newfun(image): return image.score(['a parrotfish with many colors', 'a parrotfish with bright colors', 'a parrotfish with green chin', 'a parrotfish with blue and yellow', 'a parrotfish with orange-spotted filefish', 'a parrotfish with trumpet snout'])
iteration: 127 generation: def newfun(image): return image.score(['a school of moorish idol', 'a school of clownfish', 'a school of blue damselfish', 'a school of sergeant major damselfish', 'a school of threespot dascyllus damselfish', 'a school of banded triggerfish'])
iteration: 128 generation: def newfun(image): return image.score(['a trumpetfish', 'a trumpetfish with yellow body', 'a trumpetfish with blue spots', 'a trumpetfish with black-and-white stripes', 'a trumpetfish with no fins', 'a trumpetfish with spiky fins'])
iteration: 129 generation: def newfun(image): return image.score(['a trumpetfish', 'a trumpetfish with elongated body', 'a trumpetfish with blue spots', 'a trumpetfish with yellow body', 'a trumpetfish with black spot on the tail', 'a trumpetfish with an elongated snout'])
iteration: 130 generation: def newfun(image): return image.score(['a school of fish swimming together', 'a chromis with yellow and black stripes swimming with a school of fish', 'a chromis with blue-and-yellow coloring swimming with a school of fish', 'a chromis with a black body and yellow head swimming with a school of fish', 'a chromis with a yellow head and blue-and-yellow coloring swimming with a school of fish', 'a chromis with a black body and yellow head and blue-and-yellow coloring swimming with a school of fish'])
iteration: 131 generation: def newfun(image): return image.score(['a blacktip reef shark', 'a blacktip shark', 'a blacktip reef shark swimming near a coral reef', 'a blacktip shark swimming near a school of fish', 'a blacktip shark swimming near a sea turtle', 'a blacktip reef shark swimming near a moray eel'])
iteration: 132 generation: def newfun(image): return image.score(['a moorish idol swimming along the surface', 'a moorish idol yielding to a parrotfish', 'a moorish idol descending down through a school of blue tang', 'a moorish idol swimming alone in the depths', 'a moorish idol and a parrotfish facing off', 'a moorish idol and a yellow tang about to mate'])
iteration: 133 generation: def newfun(image): return image.score(['a parrotfish eating algae off of a coral reef', 'a parrotfish swimming along side a coral reef', 'a parrotfish swimming near a school of fish', 'a parrotfish with bright colors', 'a parrotfish with a beak', 'a parrotfish with a long snout'])
iteration: 134 generation: def newfun(image): return image.score(['a trumpetfish and a blue tang', 'a trumpetfish and a blue tang with eggs', 'a trumpetfish and a blue tang with bubbles', 'a trumpetfish and a blue tang swimming', 'a trumpetfish and a blue tang in an anemone', 'a trumpetfish and a blue tang in a coral reef'])
iteration: 135 generation: def newfun(image): return image.score(['a trumpetfish', 'a blue tang with yellow and black highlights', 'a blue tang with blue and yellow highlights', 'a blue damselfish', 'a sergeant major damselfish', 'a threespot dascyllus damselfish'])
iteration: 136 generation: def newfun(image): return image.score(['a moorish idol', 'a yellow tang', 'a blue tang', 'a butterflyfish', 'a parrotfish', 'a trumpetfish'])
iteration: 137 generation: def newfun(image): return image.score(['a blue-and-yellow damselfish school', 'a blue-and-black damselfish school', 'a yellow-and-black damselfish school', 'a brightly colored damselfish', 'a damselfish with vertical stripes', 'a damselfish with horizontal stripes'])
iteration: 138 generation: def newfun(image): return image.score(['a parrotfish swimming towards the camera', 'a butterflyfish swimming away from the camera', 'a blue tang swimming in the distance', 'a school of damselfish swimming towards the camera', 'a green-blue parrotfish swimming in the foreground', 'a bright blue damselfish swimming towards the camera'])
iteration: 139 generation: def newfun(image): return image.score(['a blue chromis', 'a blue-and-yellow chromis', 'a blue-and-black chromis', 'a blue-and-yellow damselfish', 'a blue-and-yellow tang', 'a blue-and-yellow surgeonfish'])
iteration: 140 generation: def newfun(image): return image.score(['a school of blue tang swimming near a coral reef', 'a school of yellowtail damselfish swimming near a coral reef', 'a school of parrotfish swimming near a coral reef', 'a school of chromis swimming near a coral reef', 'a school of surgeonfish swimming near a coral reef'])
iteration: 141 generation: def newfun(image): return image.score(['a sergeant major damselfish swimming near a coral reef', 'a sergeant major damselfish swimming near a school of fish', 'a sergeant major damselfish swimming near a sea turtle', 'a sergeant major damselfish swimming near a moorish idol', 'a sergeant major damselfish swimming near a parrotfish', 'a sergeant major damselfish swimming near a wrasse'])
iteration: 142 generation: def newfun(image): return image.score(['a green chromis', 'a green-and-black chromis', 'a green-and- yellow chromis', 'a green-and-black damselfish', 'a green-and-yellow tang', 'a green-and-yellow surgeonfish'])
iteration: 143 generation: def newfun(image): return image.score(['a couple of trumpetfish', 'a group of trumpetfish', 'a school of trumpetfish', 'a big school of trumpetfish', 'a huge school of trumpetfish', 'a really huge school of trumpetfish'])
iteration: 144 generation: def newfun(image): return image.score(['a blacktip reef shark and a blue tang swimming together', 'a blacktip reef shark and a blue tang fighting', 'a blacktip reef shark and a blue tang mating', 'a blacktip reef shark and a blue tang feeding', 'a blacktip reef shark and a blue tang cleaning together'])
